SURVIVOR;DD/MMM;/YEAR;RESULT;RD;DECEASED;AGE;MV;ALPHA;CITY;STATE/CTY/PROV;COUNTRY;WEIGHT;SOURCE/REMARKS;CHAMPIONSHIP;PRO/AM/TOUGHMAN;TYPE;WHERE;CAUSALITY/LEGAL;;
"Edward ""Ned"" Turner";22-Oct;1816;KO;68;"John ""Jack"" Curtis"; ;Y;curtis;Moulsey Hurst;Surrey;England;ND;"Old Bailey Proceedings Online (www.oldbaileyonline.org), ""Edward Turner: Killing: Murder, 30th October, 1816,"" Ref: t18161030-8; (London) Morning Post, October 24, 1816; Edinburgh Advertiser, November 5, 1816; London Times, November 1, 1816; Exeter (England) Flying Post, November 7, 1816; Manchester (England) Observer, April 24, 1826; Editors of Bell's Life, Fistiana: Or, The Oracle of the Ring, London, 1841, 248; Henry Ripley, The History and Topography of Hampton-on-Thames, London: Wyman and Sons, 1884, 115. The mill lasted 1 hour, 28 minutes. Curtis was losing, but did not want to stop the fight. Nonetheless, at the conclusion, Curtis was knocked out. After getting up, he started vomiting, so he was taken to a nearby inn. Surgeons were called, and he was bled, but he still died later that night. After two minutes deliberation, the jury convicted Turner of manslaughter. The sentence was three months imprisonment and a one-shilling fine. "; ;Pro;;Soon after;Blows: Manslaughter; ;
William Batts ;28-Apr;1817;KO;27;Thomas Clayton; ;Y;clayton;Near Oxford;Berkshire;England;Light Heavy;"(Oxford, England) Jackson's Oxford Journal, May 3, 1817; (Exeter, England) Trewman's Exeter Flying Post or Plymouth and Cornish Advertiser, May 8, 1817; (Cooperstown, New York) Otsego Herald, July 10, 1817; see also Blackwood's Edinburgh Magazine, May 1817; Personal correspondence with Ollie Batts (a descendent). The fight took place about five miles from Oxford, in a meadow on the Berkshire bank of the Thames. The crowd was estimated in the thousands, and the purse was 20 guineas. Batts weighted about 13 stone (182 pounds) while Clayton weighed about 12 stone (168 pounds). Going into the match, the betting odds were slightly in favor of Clayton, and he was probably leading going into the fourteenth round. However, after that, Batts began dominating the fight. Finally, Clayton was knocked out by a blow to the side of the neck. He did not regain consciousness, so he was transported to King's Arms Public House in Sandford, where he died at about 7 p.m. The coroner ruled cause of death was occasioned by blows. Batts was convicted of manslaughter, and sentenced to six months imprisonment. "; ;Pro;Brain injury;Ring;Blows: Manslaughter; ;
Richards;24-Jun;1817;KO; ;S. Scott;24; ;scott;Melksham;Wiltshire;England;ND;(London) Morning Post, June 30, 1817. The fight took place off Broughton Road. The coroner ruled cause of death was a blow to the left side of the neck, and the coroner's jury ruled manslaughter.; ;Pro;Brain injury;Ring;Blows: Manslaughter;;
William Davis;11-Aug;1817;KO; ;Samuel White; ; ;white;Lansdown;Somerset;England;ND;"(Suffolk, England) Bury and Norwich Post, August 19, 1817; Hereford (England) Journal, August 19, 1817. The bout took place at the Lansdown Fair, near Bath. It lasted about 40 minutes. White went home with assistance, but then collapsed and died of injuries the following morning. The jury rule dmanslaughter. ";;Pro; ;Soon after;Blows: Manslaughter;;
Thomas Watkins;Jan/;1818;KO;;Richard Davies;;;davies;Presteigne;Radnorshire (Powys);Wales;ND;"National Archives of Wales, Crime and Punishment Database, http://www.llgc.org.uk/sesiwn_fawr/index_s.htm. ""Manslaughter of Richard Davies, Presteigne, labourer by beating him. Prisoner and deceased 'met to fight by previous appointment... with their fists.'"" Verdict was not guilty.";;Pro;;Ring;Misadventure;;
ND;25-Mar;1818;KO;;Price ; ; ;price;Walthamstow;London;England;ND;"(Edinburgh, Scotland) Caledonian Mercury, March 30, 1818; (Exeter, England) Trewman's Exeter Flying Post or Plymouth and Cornish Advertiser, April 2, 1818. The bout was arranged at a pub called Hilliar's Ferry. During the fight, Price wanted to quit. His seconds insisted he continue, and carried him to the mark. He was struck hard in the stomach, and killed on the spot. "; ;Pro; ;Ring;Blows: Manslaughter;;
Henry Jacques;4-Apr;1818;KO; ;Daniel Collison; ; ;collison;Chesterton;Buckinghamshire;England;ND;London (England) Morning Post, April 13, 1818. The bout took place on the border of Buckinghamshire and Hertfordshire. The fight lasted about two hours. Finally, Collison collapsed following a blow o the head. He was carried to a nearby pub, where he was pronounced dead.; ;Pro; ;Ring;;;
Thomas Chapman;25-Jun;1818;KO; ;John Dunnington; ; ;dunnington;Ripon;Yorkshire;England;ND;York (England) Herald, July 17, 1818. ; ;Pro; ;Ring; ;;
"Charles ""Pug"" McKay (sometimes spelled McGee)";15-Jun;1819;KO;;Samuel Eades; ;Y;eades;Birmingham (Rotten Park);West Midlands;England;ND;"London Times, June 28, 1819; Editors of Bell's Life, Fistiana: Or, The Oracle of the Ring, London, 1841, 226. Eades was knocked down by a blow to the neck. Said the London Times: ""After fighting nearly 40 minutes, the latter had received so much injury that he died."""; ;Pro;;Ring;; ;
Payne;6-Mar;1820;KO; ;Wyer; ;;wyer;Hindon;Wiltshire;England;ND;Bristol (England) Mercury, March 13, 1820. Toward the end of the fight, Wyer collapsed on the ground. Payne's second, a man named Target, came up and began kicking him, telling him to get up and fight. He did. He fought two more rounds, then collapsed. He was carried unconscious from the field, and died two days later. Cause of death was attributed to blows. Manslaughter was charged. ; ;Pro; ;Ring;Blows: Manslaughter;;
Garthshore;8-Sep;1820;KO;57;Bartholomew  ; ; ;bartholomew;Newington;London;England;ND;(Exeter, England) Trewman's Exeter Flying Post or Plymouth and Cornish Advertiser, September 14, 1820. The two men met at a public house, and agreed to have a prize fight. The paper said they fought hard but unskilfully, and that they were hurt more by falls than blows. Bartholomew collapsed during a clinch. A surgeon was called, but Bartholomew was pronounced dead at the scene.; ;Pro; ;Ring ; ;;
Dogherty;5-Dec;1820;KO;45;Michael White; ; ;white;Bristol;Bristol;England;ND;(London, England) Morning Chronicle, December 14, 1820. The Cottager's Monthly Visitor, Volume 1, London: F.C. & J. Rivington, 1821. The two men had a quarrel that they decided to settle with a prize fight. The bout took place on a Tuesday, and lasted one hour, ten minutes. White was carried home, and died about 6 p.m. The jury ruled manslaughter.; ;Pro; ;Ring;Blows: Manslaughter; ;
Cullington;21-Apr;1821;KO; ;Codrington; ; ;codrington;Newington;London;England;ND;London (England) Morning Chronicle, April 24, 1821. The two men had been fighting for about two hours. Codrington was knocked down by a blow to the head. He died soon after. Cause of death was a ruptured blood vessel in the head. ; ;Pro;Brain injury;Ring; ;;
"Edward ""Ned"" Horner";16-Jul;1821;KO;;John Wilson;24;Y;wilson;Millbank;London;England;ND;"Manchester (England) Observer, October 14, 1821;  (London) Morning Post, October 14, 1821; London (England) Morning Advertiser, October 15, 1821; Edinburgh (Scotland) Advertiser, October 19, 1821. The bout took place on a Sunday morning, near Milbank Penitentiary. The prize was five guineas per side. The two men fought about a quarter of an hour, when Horner could not make it to scrach. The fight was stopped, and the victory awarded to Wilson. After a rest, Horner said he was ready to try again. So, the ring was put up again, and they fought three more rounds. In the next to last round, both men fell. Wilson had trouble getting up, but his seconds helped him up, and he fought one more round. Horner knocked him down, and this time, Wilson was he loser. When the surgeon arrived, he found Wilson with a swelling on the right side of the neck, under the ear, and paralyzed on the right side. Although the surgeon bled Wilson, he died anyway, later that night. Cause of death was a ruptured blood vessel in the brain. The jury ruled manslaughter."; ;Pro;Brain injury;Ring;Blows: Manslaughter; ;
Codrington;7-Aug;1821;KO; ;Delville; ; ;delville;Newingon;London;;;Yorkshire Gazette, August 10, 1821. The bout was for five shillings per side. There was more wrestling than boxing, and Delville apparently hit his head in the final fall. Death was attributed to a ruptured blood vessel in the head.; ;Pro;Brain injury;Ring;Fall;;
"John ""Jack"" Cooper (Slashing Gypsy)";7-Aug;1821;KO;38;Daniel O'Leary; ;Y;o'leary;Epsom (Walton Down);Surrey;England;Welter;"(Exeter, England) Trewman's Exeter Flying Post or Plymouth and Cornish Advertiser, August 16, 1821; Edinburgh Advertiser, September 14, 1821; Edinburgh Advertiser, September 18, 1821; Editors of Bell's Life, Fistiana: Or, The Oracle of the Ring, London, 1841, 217. The bout lasted 68 minutes. Toward the end, O'Leary was hit several times under his ear and on the temple, and this ended the fight. O'Leary was carried off the field, and soon died. Cause of death was a ruptured blood vessel in the brain. Cooper was found guilty of manslaughter, and sentenced to six months imprisonment."; ;Pro;Brain injury;Ring;Blows: Manslaughter; ;
ND;22-Mar;1822;KO; ;Coxhead; ; ;coxhead;New-cross;London;England;ND;(London, England) Morning Chronicle, March 22, 1822.The fight lasted about an hour and a half. Coxhead was thrown, and died. Death was attributed to a ruptured blood vessel on the brain.; ;Pro;Brain injury;Ring;;;
Charrington;8-May;1822;KO; ;Blinkinsop; ; ;blinkinsop;Newington;London;England;ND;(London, England) Morning Post, May 9, 1822. The match was distinguished by better wrestling than punching. Blinkinsop was thrown hard, and did not get up. Cause of death was attributed to the fall. Cause of death was a ruptured blood vessel in the brain. ; ;Pro;Brain injury;Ring;Fall;;
William Snellgrove;22-May;1822;KO; ;William Platt; ; ;platt;Bow Common;London;England;ND;Proceedings of the Old Bailey, WILLIAM SNELLGROVE, THOMAS BUCKMASTER, SAMUEL DIGHTON, JOSEPH SMITH, FRANCIS BOYD, Killing > manslaughter, 22nd May 1822, t18220522-72. The fight started mid-afternoon. Platt was the loser, but both men had to be helped away from the field. About 11 p.m., Platt began vomiting, and then passed out. He died next morning. Cause of death was extravasation of blood on the brain. Snellgrove was found guilty, and sentenced to a month's imprisonment.; ;Pro;Brain injury;Soon after;Blows: Manslaughter;;
Jones;19-Sep;1822;KO;9;Michael Higgins;20; ;higgins ;Deptford;Kent;England;ND;(Midlothian, Scotland) Caledonian Mercury, September 29, 1822.  The purse was five shillings a side. Higgins dominated the fight. After the fight ended, the two men shook hands, then Higgins collapsed. He was carried off the field, and died. Cause of death was attributed to external violence, probably blows.; ;Pro;Brain injury;Ring;Blows: Manslaughter;;
John Turner;26-Oct;1822;KO; ;Thomas Carroll; ; ;carroll;Hoxton Fields;London;England;ND;"(London, England) Morning Chronicle, November 28, 1823; (London, England) Morning Chronicle, December 8, 1823; Old Bailey Online, JOHN TURNER, EDWARD JONES, JOHN SMITH, Killing > manslaughter, 3rd December 1823, t18231203-48. The fight was arranged three weeks in advance. It was fought on a Sunday, and the crowd was mostly working men. The prize was a sovereign. The fight lasted 50 minutes. Carroll was knocked down by a blow beneath the ear. His seconds carried him to a nearby pub. The landlord refused entry. He was carried to another pub, where a doctor was called. The doctor said keep him warm, and then transport him to a surgeon. He was transported to the surgeon and bled. He was then transported by coach to his father's house. He died a few days later. Autopsy revealed upwards of three ounces of extravasated blood on the brain. The coroner's jury ruled manslaughter, but the criminal court ruled not guilty."; ;Pro;Brain injury;Ring;Blows: Manslaughter;;
Michael O'Toole;3-Dec;1822;WKO; ;Thomas Dawson;91;Y;dawson;Gorford;Berkshire;England;ND;London Times, December 3, 1822. The two men decided to settle a dispute with a prizefight. O'Toole was aged 85, so the match was fair. Dawson won the bout, but died of injuries a week later.;;Pro;;Later;;;
Daniel Watts (Dunn);4-Apr;1823;KO;;Jim Smith; ;Y;smith ;Brighton;East Sussex;England;ND;"(Oxford, England) Jackson's Oxford Journal, April 12, 1823; Henry Downes Miles, Pugilistica: The History of British Boxing (London, J. Grant, 1906), 17. The fight lasted about an hour. Smith was knocked out by a blow to the ear. Cause of death was attributed to congestion of the brain. Around this time, pugilism began falling out of favor with the British aristocracy. One reason was a scandal over betting that caused the retirement of Gentleman John Jackson, a man widely viewed as an honest broker. Another was the well-publicized trial and execution of a homicidal boxing promoter named John Thurtell. And a third was the spread of middle-class Christian evangelicalism. To the Christian reformers, pugilism gave crude pleasure to the rich and the working classes. Moreover, it was associated with homoeroticism, which was an even graver sin. (During the Regency, heroic nudity had been an artistic vogue, and Thomas Bruce, Earl of Elgin, was notorious for paying pugilists to pose nude amidst his Greek marbles.) Thus, new laws were passed -- and more importantly, enforced. The first major fight to be stopped under the new anti-prizefight laws was one between Ned Neale and Jem Burns in 1824. Emigrating to America or Australia was among the ways that fighters avoided such strictures, and in July 1823, the New York Evening Post described a bout between an 18-year old butcher and ""a man they called the champion of Hickory Street."" The stakes in the latter fight were $200, an amount roughly equal to a working man?s annual income. Better known were the battles between Ned Hammond of Dublin and George Kensett of Liverpool in 1824 and 1826. Such battles had strong ethnic overtones, and the practice of tying gang colors to the ropes dates to this era. At the same time, journalists such as Pierce Egan, author of Boxiana, or Sketches of Ancient and Modern Pugilism, began promoting the heroics of the old days, and newspapers such as the New York Herald began routinely reporting prizefights. Other, less famous, popular boxing texts of 1820s and 1830s included William Sharples's The Complete Art of Boxing (1829),  Samuel O?Rourke?s The Art of Pugilism (1837), and Owen Swift?s Hand-Book to Boxing (1840). The American edition of the latter book was called Boxing without a Master."; ;Pro;Brain injury;Ring;; ;
